"","bibtype","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","eissn","unique-id"
"ISI:000367842600007","Article","Alyssa K. Prorok","{Leader Incentives and Civil War Outcomes}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{70-84}","{JAN}","{This article examines the influence that rebel and state leaders have on
   civil war outcomes, arguing that incentives to avoid punishment
   influence their strategic decision making during war. Leaders in civil
   war face punishment from two sources: internal audiences and opponents.
   I hypothesize that leaders who bear responsibility for involvement in
   the war have a higher expectation of punishment from both sources
   following unfavorable war performance, and thus, have incentives to
   continue the fight in the hope of turning the tide and avoiding the
   negative consequences of defeat. These incentives, in turn, make leaders
   who bear responsibility more likely to fight to an extreme outcome and
   less likely to make concessions to end the war. These propositions are
   tested on an original data set identifying all rebel and state leaders
   in all civil conflict dyads ongoing between 1980 and 2011. Results
   support the hypothesized relationships between leader responsibility and
   war outcomes.}","{10.1111/ajps.12199}","{0092-5853}","{1540-5907}","{ISI:000367842600007}"
"ISI:000367842600008","Article","Dustin Sebell","{The Problem of Political Science: Political Relevance and Scientific
   Rigor in Aristotle's ``Philosophy of Human Affairs{''}}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{85-96}","{JAN}","{Treatments of Aristotle's moral-political science have largely
   disregarded the methodological statements that he delivers as he embarks
   on his philosophy of human affairs in book I of the Nicomachean Ethics.
   A consideration of these statements, however, lends critical support to
   the view that Aristotle sought to give the sharpest possible expression
   to ordinary moral-political opinion. Moreover, apart from revealing the
   by-no-means ordinary reasons that induced Aristotle to do so (and to do
   so in contrast to Plato), such a consideration sheds light on the source
   of the vagueness or ambiguity that defines moral-political opinion as
   such. Indeed, the methodological statements are perhaps the first
   entries in the old quarrel of relevance versus rigor. And, through them,
   Aristotle suggests how political scientists today might walk a fine line
   between politics, on one hand, and science, on the other, without losing
   sight of the ultimate tension between them.}","{10.1111/ajps.12194}","{0092-5853}","{1540-5907}","{ISI:000367842600008}"
"ISI:000367842600009","Article","Bernard L. Fraga","{Candidates or Districts? Reevaluating the Role of Race in Voter Turnout}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{97-122}","{JAN}","{Leading theories of race and participation posit that minority voters
   are mobilized by co-ethnic candidates. However, past studies are unable
   to disentangle candidate effects from factors associated with the places
   from which candidates emerge. I reevaluate the links between candidate
   race, district composition, and turnout by leveraging a nationwide
   database of over 185 million individual registration records, including
   estimates for the race of every voter. Combining these records with
   detailed information about 3,000 recent congressional primary and
   general election candidates, I find that minority turnout is not higher
   in districts with minority candidates, after accounting for the relative
   size of the ethnic group within a district. Instead, Black and Latino
   citizens are more likely to vote in both primary and general elections
   as their share of the population increases, regardless of candidate
   race.}","{10.1111/ajps.12172}","{0092-5853}","{1540-5907}","{ISI:000367842600009}"
"ISI:000367842600010","Article","Ryan D. Enos","{What the Demolition of Public Housing Teaches Us about the Impact of
   Racial Threat on Political Behavior}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{123-142}","{JAN}","{How does the context in which a person lives affect his or her political
   behavior? I exploit an event in which demographic context was
   exogenously changed, leading to a significant change in voters' behavior
   and demonstrating that voters react strongly to changes in an outgroup
   population. Between 2000 and 2004, the reconstruction of public housing
   in Chicago caused the displacement of over 25,000 African Americans,
   many of whom had previously lived in close proximity to white voters.
   After the removal of their African American neighbors, the white voters'
   turnout dropped by over 10 percentage points. Consistent with
   psychological theories of racial threat, their change in behavior was a
   function of the size and proximity of the outgroup population. Proximity
   was also related to increased voting for conservative candidates. These
   findings strongly suggest that racial threat occurs because of attitude
   change rather than selection.}","{10.1111/ajps.12156}","{0092-5853}","{1540-5907}","{ISI:000367842600010}"
"ISI:000367842600011","Article","Jessica Gottlieb","{Greater Expectations: A Field Experiment to Improve Accountability in
   Mali}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{143-157}","{JAN}","{I argue that if citizens systematically underestimate what their
   government can and should do for them, then they will hold politicians
   to a lower standard and sanction poor performers less often. A field
   experiment across 95 localities in Mali in which randomly assigned
   localities receive a civics course identifies the effect of raising
   voter expectations of government on their willingness to hold leaders
   accountable. The course provides information about local government
   capacity and responsibility as well as how local politicians perform
   relative to others, effectively raising voter expectations of what local
   governments can and should do. Survey experiments among individuals in
   treated and control communities (N = 5,560) suggest that people in
   treated villages are indeed more likely to sanction poor performers and
   vote based on performance more often. A behavioral outcomethe likelihood
   that villagers challenge local leaders at a town hall meetingadds
   external validity to survey findings.}","{10.1111/ajps.12186}","{0092-5853}","{1540-5907}","{ISI:000367842600011}"
"ISI:000367842600012","Article","Jeffery A. Jenkins and Nathan W. Monroe","{On Measuring Legislative Agenda-Setting Power}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{158-174}","{JAN}","{We propose a typology for measuring agenda-setting success and failure
   in a legislative context. Our typology goes beyond the most commonly
   used measure (rolls) and includes the full range of agenda-setting
   outcomesrolls (opposing a proposal that subsequently passes), as well as
   blocks (opposing a proposal that is subsequently defeated), successes
   (supporting a proposal that subsequently passes), and disappointments
   (supporting a proposal that is subsequently defeated)and thus takes into
   account instances of both positive and negative agenda power. We discuss
   these measures, and the theoretical questions surrounding them, with the
   hope of providing some guidance to scholars of the U.S. House, as well
   as those analyzing agenda power in other legislatures. As a first step
   in this direction, we explore variation in agenda-setting measures in 85
   American state legislative chambers, the Mexican Chamber of Deputies,
   and the Canadian House of Commons.}","{10.1111/ajps.12191}","{0092-5853}","{1540-5907}","{ISI:000367842600012}"
"ISI:000367842600013","Article","John W. Patty","{Signaling through Obstruction}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{175-189}","{JAN}","{Obstruction is a time-honored tradition in legislative politics. In many
   cases, obstruction can be foreseen to be ultimately unsuccessful, and in
   some of these cases, purely costly even to the obstructor. In this
   article, I construct a model of obstruction in which the individual
   obstruction of a fait accompli policy proposal is potentially
   informative precisely and ironically because it is inefficient. The
   theory, based on the legislators' reelection motivations, offers
   comparative static predictions about the frequency and length of
   obstruction as a function of the individual characteristics of the
   legislator and his or her electoral setting, including the legislator's
   value for reelection, the appeal of the legislator's challenger, the
   legislator's individual-specific seniority, competence, and/or valence,
   and the visibility of the legislator's obstruction efforts to the voter.
   Finally, the theory illustrates the potential for transparency of
   legislators' individual actions to be strictly welfare reducing, even in
   the absence of pandering.}","{10.1111/ajps.12202}","{0092-5853}","{1540-5907}","{ISI:000367842600013}"
"ISI:000367842600014","Article","Nathalie Giger and Heike Kluever","{Voting Against Your Constituents? How Lobbying Affects Representation}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{190-205}","{JAN}","{Citizens delegate the representation of their political preferences to
   members of Parliament (MPs), who are supposed to represent their
   interests in the legislature. However, MPs are exposed to a variety of
   interest groups seeking to influence their voting behavior. We argue
   that interest groups influence how MPs cast their vote in Parliament,
   but that this effect varies across groups. While lobbying by sectional
   groups provides incentives for MPs to defect from their constituents, we
   expect that cause groups in fact strengthen the link between MPs and
   their voters. We test our argument based on an innovative study of 118
   Swiss public referenda, which allows for directly comparing voter
   preferences with legislative voting of 448 MPs on these issues. Drawing
   on a multilevel regression analysis, this study shows that interest
   groups considerably affect the link between MPs and their voters. Our
   findings have important implications for our understanding of political
   representation.}","{10.1111/ajps.12183}","{0092-5853}","{1540-5907}","{ISI:000367842600014}"
"ISI:000367842600015","Article","Nils B. Weidmann","{A Closer Look at Reporting Bias in Conflict Event Data}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{206-218}","{JAN}","{Recent data collections about political violence are frequently based on
   media reports, which can lead to reporting bias. This is an issue in
   particular for the emergent literature on communication technology and
   conflict, since this technology may not only affect violence, but also
   the reporting about it. Using the effect of cellphones on violence as an
   example, this article presents a quantitative assessment of reporting
   bias in a micro-level analysis. Comparing media-based event reports and
   those from military sources, the results show that the purported
   violence-increasing effect of cellphone coverage is partly due to higher
   reporting rates of violence in cellphone-covered areas. A simple
   diagnostic procedure for this problem is implemented. Applied to the
   analysis of cellphones and violence in Africa, it produces a pattern
   that is consistent with reporting bias driving much of the effect found
   in the Pierskalla and Hollenbach (2013) study about this topic.}","{10.1111/ajps.12196}","{0092-5853}","{1540-5907}","{ISI:000367842600015}"
"ISI:000367842600016","Article","Will Jennings and Christopher Wlezien","{The Timeline of Elections: A Comparative Perspective}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{219-233}","{JAN}","{How do voter preferences come into focus over the electoral cycle in
   different countries? Do they evolve in patterned ways? Does the
   evolution vary across countries? This article addresses these issues. We
   consider differences in political institutions and how they might impact
   voter preferences over the course of the election cycle. We then outline
   an empirical analysis relating support for parties or candidates in
   pre-election polls to their final vote. The analysis relies on over
   26,000 vote intention polls in 45 countries since 1942, covering 312
   discrete electoral cycles. Our results indicate that early polls contain
   substantial information about the final result but that they become
   increasingly informative over the election cycle. Although the degree to
   which this is true varies across countries in important and
   understandable ways given differences in political institutions, the
   pattern is strikingly general.}","{10.1111/ajps.12189}","{0092-5853}","{1540-5907}","{ISI:000367842600016}"
"ISI:000367842600017","Article","Joshua D. Kertzer and Ryan Brutger","{Decomposing Audience Costs: Bringing the Audience Back into Audience
   Cost Theory}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{234-249}","{JAN}","{According to a growing tradition in International Relations, one way
   governments can credibly signal their intentions in foreign policy
   crises is by creating domestic audience costs: leaders can tie their
   hands by publicly threatening to use force since domestic publics punish
   leaders who say one thing and do another. We argue here that there are
   actually two logics of audience costs: audiences can punish leaders both
   for being inconsistent (the traditional audience cost), and for
   threatening to use force in the first place (a belligerence cost). We
   employ an experiment that disentangles these two rationales, and turn to
   a series of dispositional characteristics from political psychology to
   bring the audience into audience cost theory. Our results suggest that
   traditional audience cost experiments may overestimate how much people
   care about inconsistency, and that the logic of audience costs (and the
   implications for crisis bargaining) varies considerably with the
   leader's constituency.}","{10.1111/ajps.12201}","{0092-5853}","{1540-5907}","{ISI:000367842600017}"
"ISI:000367842600018","Article","Peter M. Aronow and Cyrus Samii","{Does Regression Produce Representative Estimates of Causal Effects?}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{250-267}","{JAN}","{With an unrepresentative sample, the estimate of a causal effect may
   fail to characterize how effects operate in the population of interest.
   What is less well understood is that conventional estimation practices
   for observational studies may produce the same problem even with a
   representative sample. Causal effects estimated via multiple regression
   differentially weight each unit's contribution. The effective sample
   that regression uses to generate the estimate may bear little
   resemblance to the population of interest, and the results may be
   nonrepresentative in a manner similar to what quasi-experimental methods
   or experiments with convenience samples produce. There is no general
   external validity basis for preferring multiple regression on
   representative samples over quasi-experimental or experimental methods.
   We show how to estimate the multiple regression weights that allow one
   to study the effective sample. We discuss alternative approaches that,
   under certain conditions, recover representative average causal effects.
   The requisite conditions cannot always be met.}","{10.1111/ajps.12185}","{0092-5853}","{1540-5907}","{ISI:000367842600018}"
"ISI:000367842600019","Article","Andrew Q. Philips and Amanda Rutherford and Guy D. Whitten","{Dynamic Pie: A Strategy for Modeling Trade-Offs in Compositional
   Variables over Time}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{268-283}","{JAN}","{The substance of politics involves competition that evolves over time.
   While our theories about competition emphasize trade-offs across
   multiple categories, most empirical models tend to oversimplify them by
   considering trade-offs between one category and everything else. We
   propose a research strategy for testing theories about trade-off
   relationships that shape dynamic compositional variables. This approach
   improves current methods used to analyze compositional dependent
   variables by addressing two limitations. First, although scholars have
   considered compositional dependent variables, they have done so in
   contexts that were not dynamic. Second, current approaches toward
   graphical presentations become unwieldy when the compositional dependent
   variable has more than three categories. We demonstrate the utility of
   our strategy to expand current theories of party support and political
   budgeting. In both cases, we can extend trade-offs across pairs of
   alternatives (e.g., prime minister versus all other parties or spending
   on defense versus everything else) to competition across multiple
   alternatives.}","{10.1111/ajps.12204}","{0092-5853}","{1540-5907}","{ISI:000367842600019}"
"ISI:000367842600001","Article","Tom S. Clark","{The Separation of Powers, Court Curbing, and Judicial Legitimacy (vol 4,
   pg 971, 2009)}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{E1}","{JAN}",NA,"{10.1111/j.1540-5907.2011.00554.x}","{0092-5853}","{1540-5907}","{ISI:000367842600001}"
"ISI:000367842600002","Article","Yair Ghitza and Andrew Gelman","{Ghitza and Gelman (2013) Yair Ghitza and Andrew Gelman 18 Nov 2013 (vol
   57, pg 762, 2013)}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{E2}","{JAN}",NA,"{10.1111/ajps.12104}","{0092-5853}","{1540-5907}","{ISI:000367842600002}"
"ISI:000367842600003","Article","Brad Verhulst and Lindon Eaves and Peter K. Hatemi","{Correlation not Causation: The Relationship between Personality Traits
   and Political Ideologies (vol 56, pg 34, 2012)}","{AMERICAN JOURNAL OF POLITICAL SCIENCE}","{2016}","{60}","{1}","{E3-E4}","{JAN}",NA,"{10.1111/ajps.12216}","{0092-5853}","{1540-5907}","{ISI:000367842600003}"
"ISI:000367654800007","Article","Amy Catalinac","{From Pork to Policy: The Rise of Programmatic Campaigning in Japanese
   Elections}","{JOURNAL OF POLITICS}","{2016}","{78}","{1}","{1-18}","{JAN}","{We examine two related propositions central to the subfield of
   comparative politics: that candidates for office adopt different
   electoral strategies under different electoral systems and rely more on
   particularism when faced with intraparty competition. We apply an
   innovative methodological approach that combines probabilistic topic
   modeling with in-depth qualitative interpretations of each topic to an
   original collection of 7,497 Japanese-language candidate election
   manifestos used in elections on either side of Japan's 1994 electoral
   reform. We find that the reform, which eliminated intraparty
   competition, was associated with a decline in particularism and an
   increase in promises of programmatic goods such as national security
   among candidates affiliated with Japan's Liberal Democratic Party. This
   is not explained by the entry of new candidates or other variables that
   could plausibly increase discussion of national security. Consistent
   with the theory, we find that opposition candidates relied on
   programmatic goods under both electoral systems.}","{10.1086/683073}","{0022-3816}","{1468-2508}","{ISI:000367654800007}"
"ISI:000367654800008","Article","Bernard L. Fraga","{Redistricting and the Causal Impact of Race on Voter Turnout}","{JOURNAL OF POLITICS}","{2016}","{78}","{1}","{19-34}","{JAN}","{Recent work challenges traditional understandings of the link between
   race and voter turnout, suggesting that there is limited evidence of
   increased minority voting due to co-ethnic representation and
   majority-minority districts. Here I examine 65.3 million registration
   records from 10 states to trace individual-level participation before
   and after the 2012 round of redistricting, testing whether a shift in
   congressional representation, candidacy, and/or district ethnic
   composition affected an individual's decision to participate. Separating
   results for non-Hispanic white, black, Latino, and Asian American
   registrants, I find that individuals change their behavior in response
   to ethnoracial context, with African Americans more likely to vote when
   assigned to majority-black districts with black candidates or
   incumbents. White and Asian registrants also turn out in higher numbers
   when a co-ethnic candidate is on the ballot, but Latinos may be less
   likely to vote in the short term when assigned to majority-Latino
   districts.}","{10.1086/683601}","{0022-3816}","{1468-2508}","{ISI:000367654800008}"
"ISI:000367654800009","Article","Nicholas Carnes and Noam Lupu","{What Good Is a College Degree? Education and Leader Quality Reconsidered}","{JOURNAL OF POLITICS}","{2016}","{78}","{1}","{35-49}","{JAN}","{Do people with more formal education make better political leaders? In
   this article we analyze cross-national data on random leadership
   transitions, data on close elections in the US Congress, and data on
   randomly audited municipalities in Brazil. Across a wide range of
   outcomes, we consistently find that college-educated leaders perform
   about the same as or worse than leaders with less formal education.
   Politicians with college degrees do not tend to govern over more
   prosperous nations, do not pass more bills, do not tend to do better at
   the polls, and are no less likely to be corrupt. These findings have
   important implications for how citizens evaluate candidates, how
   scholars measure leader quality, and how we think about the role of
   education in policy making.}","{10.1086/683027}","{0022-3816}","{1468-2508}","{ISI:000367654800009}"
"ISI:000367654800010","Article","Lisa Herzog","{The Normative Stakes of Economic Growth; Or, Why Adam Smith Does Not
   Rely on ``Trickle Down{''}}","{JOURNAL OF POLITICS}","{2016}","{78}","{1}","{50-62}","{JAN}","{This article analyzes Adam Smith's endorsement of economic growth and
   asks what it might mean for a scenario of low or zero growth in the
   Western economies. It distinguishes two models of economic growth in
   Smith's writing. The first, a ``trickle down{''} scenario, plays a
   marginal role; Smith's main focus is on a model in which the growth of
   productive capital and of jobs reinforce one another. There are three
   desiderata that this second model of growth achieves: a distribution
   that benefits the worst-off and leads to more equality in the long run,
   the harmonization of individual interests and societal interests, and
   the strengthening of the independence of citizens from employers, and of
   the political sphere from economic influences. To achieve these
   desiderata in a low or zero growth scenario, institutional reforms are
   needed, but such a scenario need not be as bleak as Smith imagined, as
   arguments by John Stuart Mill show.}","{10.1086/683428}","{0022-3816}","{1468-2508}","{ISI:000367654800010}"
